label,text,tokens,clean_text
ham,aft i finish my lunch then i go str down lor ard 3 smth lor u finish ur lunch already,"['aft', 'finish', 'lunch', 'go', 'str', 'lor', 'ard', '3', 'smth', 'lor', 'u', 'finish', 'ur', 'lunch', 'already']",aft finish lunch go str lor ard 3 smth lor u finish ur lunch already
ham,ffffffffff alright no way i can meet up with you sooner,"['ffffffffff', 'alright', 'way', 'meet', 'sooner']",ffffffffff alright way meet sooner
ham,just forced myself to eat a slice im really not hungry tho this sucks mark is getting worried he knows im sick when i turn down pizza lol,"['forced', 'eat', 'slice', 'im', 'really', 'hungry', 'tho', 'suck', 'mark', 'getting', 'worried', 'know', 'im', 'sick', 'turn', 'pizza', 'lol']",forced eat slice im really hungry tho suck mark getting worried know im sick turn pizza lol
ham,lol your always so convincing,"['lol', 'always', 'convincing']",lol always convincing
ham,did you catch the bus  are you frying an egg  did you make a tea are you eating your moms left over dinner  do you feel my love ,"['catch', 'bus', 'frying', 'egg', 'make', 'tea', 'eating', 'mom', 'left', 'dinner', 'feel', 'love']",catch bus frying egg make tea eating mom left dinner feel love
ham,im back amp were packing the car now ill let you know if theres room,"['im', 'back', 'amp', 'packing', 'car', 'ill', 'let', 'know', 'there', 'room']",im back amp packing car ill let know there room
ham,ahhh work i vaguely remember that what does it feel like lol,"['ahhh', 'work', 'vaguely', 'remember', 'feel', 'like', 'lol']",ahhh work vaguely remember feel like lol
ham,wait thats still not all that clear were you not sure about me being sarcastic or that thats why x doesnt want to live with us,"['wait', 'thats', 'still', 'clear', 'sure', 'sarcastic', 'thats', 'x', 'doesnt', 'want', 'live', 'u']",wait thats still clear sure sarcastic thats x doesnt want live u
ham,yeah he got in at 2 and was v apologetic n had fallen out and she was actin like spoilt child and he got caught up in that till 2 but we wont go there not doing too badly cheers you ,"['yeah', 'got', '2', 'v', 'apologetic', 'n', 'fallen', 'actin', 'like', 'spoilt', 'child', 'got', 'caught', 'till', '2', 'wont', 'go', 'badly', 'cheer']",yeah got 2 v apologetic n fallen actin like spoilt child got caught till 2 wont go badly cheer
ham,k tell me anything about you,"['k', 'tell', 'anything']",k tell anything
ham,for fear of fainting with the of all that housework you just did quick have a cuppa,"['fear', 'fainting', 'housework', 'quick', 'cuppa']",fear fainting housework quick cuppa
spam,thanks for your subscription to ringtone uk your mobile will be charged å£5month please confirm by replying yes or no if you reply no you will not be charged,"['thanks', 'subscription', 'ringtone', 'uk', 'mobile', 'charged', 'å£5month', 'please', 'confirm', 'replying', 'yes', 'reply', 'charged']",thanks subscription ringtone uk mobile charged å£5month please confirm replying yes reply charged
ham,yup ok i go home look at the timings then i msg ì again xuhui going to learn on 2nd may too but her lesson is at 8am,"['yup', 'ok', 'go', 'home', 'look', 'timing', 'msg', 'ì', 'xuhui', 'going', 'learn', '2nd', 'may', 'lesson', '8am']",yup ok go home look timing msg ì xuhui going learn 2nd may lesson 8am
ham,oops ill let you know when my roommates done,"['oops', 'ill', 'let', 'know', 'roommate', 'done']",oops ill let know roommate done
ham,i see the letter b on my car,"['see', 'letter', 'b', 'car']",see letter b car
ham,anything lor u decide,"['anything', 'lor', 'u', 'decide']",anything lor u decide
ham,hello hows you and how did saturday go i was just texting to see if youd decided to do anything tomo not that im trying to invite myself or anything,"['hello', 'hows', 'saturday', 'go', 'texting', 'see', 'youd', 'decided', 'anything', 'tomo', 'im', 'trying', 'invite', 'anything']",hello hows saturday go texting see youd decided anything tomo im trying invite anything
ham,pls go ahead with watts i just wanted to be sure do have a great weekend abiola,"['pls', 'go', 'ahead', 'watt', 'wanted', 'sure', 'great', 'weekend', 'abiola']",pls go ahead watt wanted sure great weekend abiola
ham,did i forget to tell you  i want you  i need you i crave you  but most of all  i love you my sweet arabian steed  mmmmmm  yummy,"['forget', 'tell', 'want', 'need', 'crave', 'love', 'sweet', 'arabian', 'steed', 'mmmmmm', 'yummy']",forget tell want need crave love sweet arabian steed mmmmmm yummy
spam,07732584351  rodger burns  msg  we tried to call you re your reply to our sms for a free nokia mobile  free camcorder please call now 08000930705 for delivery tomorrow,"['07732584351', 'rodger', 'burn', 'msg', 'tried', 'call', 'reply', 'sm', 'free', 'nokia', 'mobile', 'free', 'camcorder', 'please', 'call', '08000930705', 'delivery', 'tomorrow']",07732584351 rodger burn msg tried call reply sm free nokia mobile free camcorder please call 08000930705 delivery tomorrow
ham,who are you seeing,['seeing'],seeing
ham,great i hope you like your man well endowed i am  ltgt  inches,"['great', 'hope', 'like', 'man', 'well', 'endowed', 'ltgt', 'inch']",great hope like man well endowed ltgt inch
ham,no callsmessagesmissed calls,"['callsmessagesmissed', 'call']",callsmessagesmissed call
ham,didnt you get hep b immunisation in nigeria,"['didnt', 'get', 'hep', 'b', 'immunisation', 'nigeria']",didnt get hep b immunisation nigeria
ham,fair enough anything going on,"['fair', 'enough', 'anything', 'going']",fair enough anything going
ham,yeah hopefully if tyler cant do it i could maybe ask around a bit,"['yeah', 'hopefully', 'tyler', 'cant', 'could', 'maybe', 'ask', 'around', 'bit']",yeah hopefully tyler cant could maybe ask around bit
ham,u dont know how stubborn i am i didnt even want to go to the hospital i kept telling mark im not a weak sucker hospitals are for weak suckers,"['u', 'dont', 'know', 'stubborn', 'didnt', 'even', 'want', 'go', 'hospital', 'kept', 'telling', 'mark', 'im', 'weak', 'sucker', 'hospital', 'weak', 'sucker']",u dont know stubborn didnt even want go hospital kept telling mark im weak sucker hospital weak sucker
ham,what you thinked about me first time you saw me in class,"['thinked', 'first', 'time', 'saw', 'class']",thinked first time saw class
ham,a gram usually runs like  ltgt  a half eighth is smarter though and gets you almost a whole second gram for  ltgt,"['gram', 'usually', 'run', 'like', 'ltgt', 'half', 'eighth', 'smarter', 'though', 'get', 'almost', 'whole', 'second', 'gram', 'ltgt']",gram usually run like ltgt half eighth smarter though get almost whole second gram ltgt
ham,k fyi x has a ride early tomorrow morning but hes crashing at our place tonight,"['k', 'fyi', 'x', 'ride', 'early', 'tomorrow', 'morning', 'he', 'crashing', 'place', 'tonight']",k fyi x ride early tomorrow morning he crashing place tonight
ham,wow i never realized that you were so embarassed by your accomodations i thought you liked it since i was doing the best i could and you always seemed so happy about the cave im sorry i didnt and dont have more to give im sorry i offered im sorry your room was so embarassing,"['wow', 'never', 'realized', 'embarassed', 'accomodations', 'thought', 'liked', 'since', 'best', 'could', 'always', 'seemed', 'happy', 'cave', 'im', 'sorry', 'didnt', 'dont', 'give', 'im', 'sorry', 'offered', 'im', 'sorry', 'room', 'embarassing']",wow never realized embarassed accomodations thought liked since best could always seemed happy cave im sorry didnt dont give im sorry offered im sorry room embarassing
spam,sms ac sptv the new jersey devils and the detroit red wings play ice hockey correct or incorrect end reply end sptv,"['sm', 'ac', 'sptv', 'new', 'jersey', 'devil', 'detroit', 'red', 'wing', 'play', 'ice', 'hockey', 'correct', 'incorrect', 'end', 'reply', 'end', 'sptv']",sm ac sptv new jersey devil detroit red wing play ice hockey correct incorrect end reply end sptv
ham,do you know what mallika sherawat did yesterday find out now   lturlgt,"['know', 'mallika', 'sherawat', 'yesterday', 'find', 'lturlgt']",know mallika sherawat yesterday find lturlgt
spam,congrats 1 year special cinema pass for 2 is yours call 09061209465 now c suprman v matrix3 starwars3 etc all 4 free bx420ip45we 150pm dont miss out ,"['congrats', '1', 'year', 'special', 'cinema', 'pas', '2', 'call', '09061209465', 'c', 'suprman', 'v', 'matrix3', 'starwars3', 'etc', '4', 'free', 'bx420ip45we', '150pm', 'dont', 'miss']",congrats 1 year special cinema pas 2 call 09061209465 c suprman v matrix3 starwars3 etc 4 free bx420ip45we 150pm dont miss
ham,sorry ill call later in meeting,"['sorry', 'ill', 'call', 'later', 'meeting']",sorry ill call later meeting
ham,tell where you reached,"['tell', 'reached']",tell reached
ham,yesgauti and sehwag out of odi series,"['yesgauti', 'sehwag', 'odi', 'series']",yesgauti sehwag odi series
ham,your gonna have to pick up a 1 burger for yourself on your way home i cant even move pain is killing me,"['gon', 'na', 'pick', '1', 'burger', 'way', 'home', 'cant', 'even', 'move', 'pain', 'killing']",gon na pick 1 burger way home cant even move pain killing
ham,ha ha ha good joke girls are situation seekers,"['ha', 'ha', 'ha', 'good', 'joke', 'girl', 'situation', 'seeker']",ha ha ha good joke girl situation seeker
ham,its a part of checking iq,"['part', 'checking', 'iq']",part checking iq
ham,sorry my roommates took forever it ok if i come by now,"['sorry', 'roommate', 'took', 'forever', 'ok', 'come']",sorry roommate took forever ok come
ham,ok lar i double check wif da hair dresser already he said wun cut v short he said will cut until i look nice,"['ok', 'lar', 'double', 'check', 'wif', 'da', 'hair', 'dresser', 'already', 'said', 'wun', 'cut', 'v', 'short', 'said', 'cut', 'look', 'nice']",ok lar double check wif da hair dresser already said wun cut v short said cut look nice
spam,as a valued customer i am pleased to advise you that following recent review of your mob no you are awarded with a å£1500 bonus prize call 09066364589,"['valued', 'customer', 'pleased', 'advise', 'following', 'recent', 'review', 'mob', 'awarded', 'å£1500', 'bonus', 'prize', 'call', '09066364589']",valued customer pleased advise following recent review mob awarded å£1500 bonus prize call 09066364589
ham,today is song dedicated day which song will u dedicate for me send this to all ur valuable frnds but first rply me,"['today', 'song', 'dedicated', 'day', 'song', 'u', 'dedicate', 'send', 'ur', 'valuable', 'frnds', 'first', 'rply']",today song dedicated day song u dedicate send ur valuable frnds first rply
spam,urgent ur awarded a complimentary trip to eurodisinc trav acoentry41 or å£1000 to claim txt dis to 87121 186å£150morefrmmob shracomorsglsuplt10 ls1 3aj,"['urgent', 'ur', 'awarded', 'complimentary', 'trip', 'eurodisinc', 'trav', 'acoentry41', 'å£1000', 'claim', 'txt', 'dis', '87121', '186å£150morefrmmob', 'shracomorsglsuplt10', 'ls1', '3aj']",urgent ur awarded complimentary trip eurodisinc trav acoentry41 å£1000 claim txt dis 87121 186å£150morefrmmob shracomorsglsuplt10 ls1 3aj
spam,did you hear about the new divorce barbie it comes with all of kens stuff,"['hear', 'new', 'divorce', 'barbie', 'come', 'ken', 'stuff']",hear new divorce barbie come ken stuff
ham,i plane to give on this month end,"['plane', 'give', 'month', 'end']",plane give month end
ham,wah lucky man then can save money hee,"['wah', 'lucky', 'man', 'save', 'money', 'hee']",wah lucky man save money hee
ham,finished class where are you,"['finished', 'class']",finished class
ham,hi babe im at home now wanna do something xx,"['hi', 'babe', 'im', 'home', 'wan', 'na', 'something', 'xx']",hi babe im home wan na something xx
ham,kkwhere are youhow did you performed,"['kkwhere', 'youhow', 'performed']",kkwhere youhow performed
ham,u can call me now,"['u', 'call']",u call
ham,i am waiting machan call me once you free,"['waiting', 'machan', 'call', 'free']",waiting machan call free
ham,thats cool i am a gentleman and will treat you with dignity and respect,"['thats', 'cool', 'gentleman', 'treat', 'dignity', 'respect']",thats cool gentleman treat dignity respect
ham,i like you peoples very much but am very shy pa,"['like', 'people', 'much', 'shy', 'pa']",like people much shy pa
ham,does not operate after  ltgt  or what,"['operate', 'ltgt']",operate ltgt
ham,its not the same here still looking for a job how much do tas earn there,"['still', 'looking', 'job', 'much', 'ta', 'earn']",still looking job much ta earn
ham,sorry ill call later,"['sorry', 'ill', 'call', 'later']",sorry ill call later
ham,k did you call me just now ah ,"['k', 'call', 'ah']",k call ah
ham,ok i am on the way to home hi hi,"['ok', 'way', 'home', 'hi', 'hi']",ok way home hi hi
ham,you will be in the place of that man,"['place', 'man']",place man
ham,yup next stop,"['yup', 'next', 'stop']",yup next stop
ham,i call you later dont have network if urgnt sms me,"['call', 'later', 'dont', 'network', 'urgnt', 'sm']",call later dont network urgnt sm
ham,for real when u getting on yo i only need 2 more tickets and one more jacket and im done i already used all my multis,"['real', 'u', 'getting', 'yo', 'need', '2', 'ticket', 'one', 'jacket', 'im', 'done', 'already', 'used', 'multis']",real u getting yo need 2 ticket one jacket im done already used multis
ham,yes i started to send requests to make it but pain came back so im back in bed double coins at the factory too i gotta cash in all my nitros,"['yes', 'started', 'send', 'request', 'make', 'pain', 'came', 'back', 'im', 'back', 'bed', 'double', 'coin', 'factory', 'got', 'ta', 'cash', 'nitros']",yes started send request make pain came back im back bed double coin factory got ta cash nitros
ham,im really not up to it still tonight babe,"['im', 'really', 'still', 'tonight', 'babe']",im really still tonight babe
ham,ela kanoil download come wen ur free,"['ela', 'kanoil', 'download', 'come', 'wen', 'ur', 'free']",ela kanoil download come wen ur free
ham,yeah do donû÷t stand to close tho youû÷ll catch something,"['yeah', 'don\x89û÷t', 'stand', 'close', 'tho', 'you\x89û÷ll', 'catch', 'something']",yeah donû÷t stand close tho youû÷ll catch something
ham,sorry to be a pain is it ok if we meet another night i spent late afternoon in casualty and that means i havent done any of y stuff42moro and that includes all my time sheets and that sorry ,"['sorry', 'pain', 'ok', 'meet', 'another', 'night', 'spent', 'late', 'afternoon', 'casualty', 'mean', 'havent', 'done', 'stuff42moro', 'includes', 'time', 'sheet', 'sorry']",sorry pain ok meet another night spent late afternoon casualty mean havent done stuff42moro includes time sheet sorry
ham,smile in pleasure smile in pain smile when trouble pours like rain smile when sum1 hurts u smile becoz someone still loves to see u smiling,"['smile', 'pleasure', 'smile', 'pain', 'smile', 'trouble', 'pours', 'like', 'rain', 'smile', 'sum1', 'hurt', 'u', 'smile', 'becoz', 'someone', 'still', 'love', 'see', 'u', 'smiling']",smile pleasure smile pain smile trouble pours like rain smile sum1 hurt u smile becoz someone still love see u smiling
spam,please call our customer service representative on 0800 169 6031 between 10am9pm as you have won a guaranteed å£1000 cash or å£5000 prize,"['please', 'call', 'customer', 'service', 'representative', '0800', '169', '6031', '10am9pm', 'guaranteed', 'å£1000', 'cash', 'å£5000', 'prize']",please call customer service representative 0800 169 6031 10am9pm guaranteed å£1000 cash å£5000 prize
ham,havent planning to buy later i check already lido only got 530 show in e afternoon u finish work already,"['havent', 'planning', 'buy', 'later', 'check', 'already', 'lido', 'got', '530', 'show', 'e', 'afternoon', 'u', 'finish', 'work', 'already']",havent planning buy later check already lido got 530 show e afternoon u finish work already
spam,your free ringtone is waiting to be collected simply text the password mix to 85069 to verify get usher and britney fml,"['free', 'ringtone', 'waiting', 'collected', 'simply', 'text', 'password', 'mix', '85069', 'verify', 'get', 'usher', 'britney', 'fml']",free ringtone waiting collected simply text password mix 85069 verify get usher britney fml
ham,watching telugu moviewat abt u,"['watching', 'telugu', 'moviewat', 'abt', 'u']",watching telugu moviewat abt u
ham,i see when we finish we have loads of loans to pay,"['see', 'finish', 'load', 'loan', 'pay']",see finish load loan pay
ham,"hi wk been ok  on hols now yes on for a bit of a run forgot that i have hairdressers appointment at four so need to get home n shower beforehand does that cause prob for uham","['hi', 'wk', 'ok', 'hols', 'yes', 'bit', 'run', 'forgot', 'hairdresser', 'appointment', 'four', 'need', 'get', 'home', 'n', 'shower', 'beforehand', 'cause', 'prob', 'u', 'ham']",hi wk ok hols yes bit run forgot hairdresser appointment four need get home n shower beforehand cause prob u ham
ham,please dont text me anymore i have nothing else to say,"['please', 'dont', 'text', 'anymore', 'nothing', 'else', 'say']",please dont text anymore nothing else say
ham,okay name ur price as long as its legal wen can i pick them up y u ave x ams xx,"['okay', 'name', 'ur', 'price', 'long', 'legal', 'wen', 'pick', 'u', 'ave', 'x', 'am', 'xx']",okay name ur price long legal wen pick u ave x am xx
ham,im still looking for a car to buy and have not gone 4the driving test yet,"['im', 'still', 'looking', 'car', 'buy', 'gone', '4the', 'driving', 'test', 'yet']",im still looking car buy gone 4the driving test yet
ham,as per your request melle melle oru minnaminunginte nurungu vettam has been set as your callertune for all callers press 9 to copy your friends callertune,"['per', 'request', 'melle', 'melle', 'oru', 'minnaminunginte', 'nurungu', 'vettam', 'set', 'callertune', 'caller', 'press', '9', 'copy', 'friend', 'callertune']",per request melle melle oru minnaminunginte nurungu vettam set callertune caller press 9 copy friend callertune
ham,wow youre right i didnt mean to do that i guess once i gave up on boston men and changed my search location to nyc something changed cuz on my signin page it still says boston,"['wow', 'youre', 'right', 'didnt', 'mean', 'guess', 'gave', 'boston', 'men', 'changed', 'search', 'location', 'nyc', 'something', 'changed', 'cuz', 'signin', 'page', 'still', 'say', 'boston']",wow youre right didnt mean guess gave boston men changed search location nyc something changed cuz signin page still say boston
ham,umma my life and vava umma love you lot dear,"['umma', 'life', 'vava', 'umma', 'love', 'lot', 'dear']",umma life vava umma love lot dear
ham,thanks a lot for your wishes on my birthday thanks you for making my birthday truly memorable,"['thanks', 'lot', 'wish', 'birthday', 'thanks', 'making', 'birthday', 'truly', 'memorable']",thanks lot wish birthday thanks making birthday truly memorable
ham,aight ill hit you up when i get some cash,"['aight', 'ill', 'hit', 'get', 'cash']",aight ill hit get cash
ham,how would my ip address test that considering my computer isnt a minecraft server,"['would', 'ip', 'address', 'test', 'considering', 'computer', 'isnt', 'minecraft', 'server']",would ip address test considering computer isnt minecraft server
ham,i know grumpy old people my mom was like you better not be lying then again i am always the one to play jokes,"['know', 'grumpy', 'old', 'people', 'mom', 'like', 'better', 'lying', 'always', 'one', 'play', 'joke']",know grumpy old people mom like better lying always one play joke
ham,dont worry i guess hes busy,"['dont', 'worry', 'guess', 'he', 'busy']",dont worry guess he busy
ham,what is the plural of the noun research,"['plural', 'noun', 'research']",plural noun research
ham,going for dinnermsg you after,"['going', 'dinnermsg']",going dinnermsg
ham,im ok wif it cos i like 2 try new things but i scared u dun like mah cos u said not too loud,"['im', 'ok', 'wif', 'co', 'like', '2', 'try', 'new', 'thing', 'scared', 'u', 'dun', 'like', 'mah', 'co', 'u', 'said', 'loud']",im ok wif co like 2 try new thing scared u dun like mah co u said loud
spam,gent we are trying to contact you last weekends draw shows that you won a å£1000 prize guaranteed call 09064012160 claim code k52 valid 12hrs only 150ppm,"['gent', 'trying', 'contact', 'last', 'weekend', 'draw', 'show', 'å£1000', 'prize', 'guaranteed', 'call', '09064012160', 'claim', 'code', 'k52', 'valid', '12hrs', '150ppm']",gent trying contact last weekend draw show å£1000 prize guaranteed call 09064012160 claim code k52 valid 12hrs 150ppm
ham,wa ur openin sentence very formal anyway im fine too juz tt im eatin too much n puttin on weighthaha so anythin special happened,"['wa', 'ur', 'openin', 'sentence', 'formal', 'anyway', 'im', 'fine', 'juz', 'tt', 'im', 'eatin', 'much', 'n', 'puttin', 'weighthaha', 'anythin', 'special', 'happened']",wa ur openin sentence formal anyway im fine juz tt im eatin much n puttin weighthaha anythin special happened
ham,as i entered my cabin my pa said  happy bday boss  i felt special she askd me 4 lunch after lunch she invited me to her apartment we went there,"['entered', 'cabin', 'pa', 'said', 'happy', 'bday', 'bos', 'felt', 'special', 'askd', '4', 'lunch', 'lunch', 'invited', 'apartment', 'went']",entered cabin pa said happy bday bos felt special askd 4 lunch lunch invited apartment went
spam,you are a winner u have been specially selected 2 receive å£1000 or a 4 holiday flights inc speak to a live operator 2 claim 0871277810910pmin 18 ,"['winner', 'u', 'specially', 'selected', '2', 'receive', 'å£1000', '4', 'holiday', 'flight', 'inc', 'speak', 'live', 'operator', '2', 'claim', '0871277810910pmin', '18']",winner u specially selected 2 receive å£1000 4 holiday flight inc speak live operator 2 claim 0871277810910pmin 18
ham,goodo yes we must speak friday  eggpotato ratio for tortilla needed ,"['goodo', 'yes', 'must', 'speak', 'friday', 'eggpotato', 'ratio', 'tortilla', 'needed']",goodo yes must speak friday eggpotato ratio tortilla needed
ham,hmmmy uncle just informed me that hes paying the school directly so pls buy food,"['hmmmy', 'uncle', 'informed', 'he', 'paying', 'school', 'directly', 'pls', 'buy', 'food']",hmmmy uncle informed he paying school directly pls buy food
spam,private your 2004 account statement for 07742676969 shows 786 unredeemed bonus points to claim call 08719180248 identifier code 45239 expires,"['private', '2004', 'account', 'statement', '07742676969', 'show', '786', 'unredeemed', 'bonus', 'point', 'claim', 'call', '08719180248', 'identifier', 'code', '45239', 'expires']",private 2004 account statement 07742676969 show 786 unredeemed bonus point claim call 08719180248 identifier code 45239 expires
spam,urgent your mobile no was awarded å£2000 bonus caller prize on 5903 this is our final try to contact u call from landline 09064019788 box42wr29c 150ppm,"['urgent', 'mobile', 'awarded', 'å£2000', 'bonus', 'caller', 'prize', '5903', 'final', 'try', 'contact', 'u', 'call', 'landline', '09064019788', 'box42wr29c', '150ppm']",urgent mobile awarded å£2000 bonus caller prize 5903 final try contact u call landline 09064019788 box42wr29c 150ppm
ham,here is my new address applespairsall that malarky,"['new', 'address', 'applespairsall', 'malarky']",new address applespairsall malarky
spam,todays voda numbers ending 7548 are selected to receive a 350 award if you have a match please call 08712300220 quoting claim code 4041 standard rates app,"['today', 'voda', 'number', 'ending', '7548', 'selected', 'receive', '350', 'award', 'match', 'please', 'call', '08712300220', 'quoting', 'claim', 'code', '4041', 'standard', 'rate', 'app']",today voda number ending 7548 selected receive 350 award match please call 08712300220 quoting claim code 4041 standard rate app
ham,i am going to sao mu today will be done only at 12 ,"['going', 'sao', 'mu', 'today', 'done', '12']",going sao mu today done 12
ham,ìï predict wat time ìll finish buying,"['ìï', 'predict', 'wat', 'time', 'ìll', 'finish', 'buying']",ìï predict wat time ìll finish buying
ham,good stuff will do,"['good', 'stuff']",good stuff
ham,just so that you knowyetunde hasnt sent money yet i just sent her a text not to bother sending so its over you dont have to involve yourself in anything i shouldnt have imposed anything on you in the first place so for that i apologise,"['knowyetunde', 'hasnt', 'sent', 'money', 'yet', 'sent', 'text', 'bother', 'sending', 'dont', 'involve', 'anything', 'shouldnt', 'imposed', 'anything', 'first', 'place', 'apologise']",knowyetunde hasnt sent money yet sent text bother sending dont involve anything shouldnt imposed anything first place apologise
ham,are you there in room,['room'],room
